,procesdag,cust_id,aantal_pakketten,aantal_pakketten_volgende_dag
596,4/11/2015,klant_3,0,0
597,4/11/2015,klant_4,0,0
598,4/11/2015,klant_5,0,0
599,4/11/2015,klant_6,0,0
600,4/12/2015,klant_1,0,8146
601,4/12/2015,klant_2,0,3464
602,4/12/2015,klant_3,0,8
603,4/12/2015,klant_4,0,0
604,4/12/2015,klant_5,0,0
605,4/12/2015,klant_6,0,0
606,4/13/2015,klant_1,8146,6414
607,4/13/2015,klant_2,3464,3110
608,4/13/2015,klant_3,8,5
609,4/13/2015,klant_4,0,0
610,4/13/2015,klant_5,0,0
611,4/13/2015,klant_6,0,0
612,4/14/2015,klant_1,6414,6550
613,4/14/2015,klant_2,3110,2406
614,4/14/2015,klant_3,5,5
615,4/14/2015,klant_4,0,0
616,4/14/2015,klant_5,0,0
617,4/14/2015,klant_6,0,0
618,4/15/2015,klant_1,6550,7798
619,4/15/2015,klant_2,2406,2234
620,4/15/2015,klant_3,5,6
621,4/15/2015,klant_4,0,0
622,4/15/2015,klant_5,0,0
623,4/15/2015,klant_6,0,0
624,4/16/2015,klant_1,7798,4418
625,4/16/2015,klant_2,2234,1712
626,4/16/2015,klant_3,6,6
627,4/16/2015,klant_4,0,0
628,4/16/2015,klant_5,0,0
629,4/16/2015,klant_6,0,0
630,4/17/2015,klant_1,4418,0
631,4/17/2015,klant_2,1712,0
632,4/17/2015,klant_3,6,0
633,4/17/2015,klant_4,0,0
634,4/17/2015,klant_5,0,0
635,4/17/2015,klant_6,0,0
636,4/18/2015,klant_1,0,0
637,4/18/2015,klant_2,0,2
638,4/18/2015,klant_3,0,0
639,4/18/2015,klant_4,0,0
640,4/18/2015,klant_5,0,0
641,4/18/2015,klant_6,0,0
642,4/19/2015,klant_1,0,8325
643,4/19/2015,klant_2,2,5197
644,4/19/2015,klant_3,0,8
645,4/19/2015,klant_4,0,0
646,4/19/2015,klant_5,0,0
647,4/19/2015,klant_6,0,0
648,4/20/2015,klant_1,8325,8107
649,4/20/2015,klant_2,5197,1942
650,4/20/2015,klant_3,8,2
651,4/20/2015,klant_4,0,0
652,4/20/2015,klant_5,0,0
653,4/20/2015,klant_6,0,0
654,4/21/2015,klant_1,8107,6156
655,4/21/2015,klant_2,1942,2315
656,4/21/2015,klant_3,2,6
657,4/21/2015,klant_4,0,0
658,4/21/2015,klant_5,0,0
659,4/21/2015,klant_6,0,0
660,4/22/2015,klant_1,6156,4877
661,4/22/2015,klant_2,2315,1779
662,4/22/2015,klant_3,6,4
663,4/22/2015,klant_4,0,0
664,4/22/2015,klant_5,0,0
665,4/22/2015,klant_6,0,0
666,4/23/2015,klant_1,4877,4544
667,4/23/2015,klant_2,1779,1788
668,4/23/2015,klant_3,4,4
669,4/23/2015,klant_4,0,0
670,4/23/2015,klant_5,0,0
671,4/23/2015,klant_6,0,0
672,4/24/2015,klant_1,4544,0
673,4/24/2015,klant_2,1788,0
674,4/24/2015,klant_3,4,0
675,4/24/2015,klant_4,0,0
676,4/24/2015,klant_5,0,0
677,4/24/2015,klant_6,0,0
678,4/25/2015,klant_1,0,0
679,4/25/2015,klant_2,0,0
680,4/25/2015,klant_3,0,0
681,4/25/2015,klant_4,0,0
682,4/25/2015,klant_5,0,0
683,4/25/2015,klant_6,0,0
684,4/26/2015,klant_1,0,0
685,4/26/2015,klant_2,0,812
686,4/26/2015,klant_3,0,0
687,4/26/2015,klant_4,0,0
688,4/26/2015,klant_5,0,0
689,4/26/2015,klant_6,0,0
690,4/27/2015,klant_1,0,7788
691,4/27/2015,klant_2,812,6506
692,4/27/2015,klant_3,0,14
693,4/27/2015,klant_4,0,0
694,4/27/2015,klant_5,0,0
695,4/27/2015,klant_6,0,0
696,4/28/2015,klant_1,7788,8168
697,4/28/2015,klant_2,6506,1877
698,4/28/2015,klant_3,14,4
699,4/28/2015,klant_4,0,0
700,4/28/2015,klant_5,0,0
701,4/28/2015,klant_6,0,0
702,4/29/2015,klant_1,8168,7716
703,4/29/2015,klant_2,1877,1587
704,4/29/2015,klant_3,4,6
705,4/29/2015,klant_4,0,0
706,4/29/2015,klant_5,0,0
707,4/29/2015,klant_6,0,0
708,4/30/2015,klant_1,7716,6666
709,4/30/2015,klant_2,1587,1215
710,4/30/2015,klant_3,6,4
711,4/30/2015,klant_4,0,0
712,4/30/2015,klant_5,0,0
713,4/30/2015,klant_6,0,0
714,5/1/2015,klant_1,6666,0
715,5/1/2015,klant_2,1215,0
716,5/1/2015,klant_3,4,0
717,5/1/2015,klant_4,0,0
718,5/1/2015,klant_5,0,0
719,5/1/2015,klant_6,0,0
720,5/2/2015,klant_1,0,6
721,5/2/2015,klant_2,0,0
722,5/2/2015,klant_3,0,0
723,5/2/2015,klant_4,0,0
724,5/2/2015,klant_5,0,0
725,5/2/2015,klant_6,0,0
726,5/3/2015,klant_1,6,7239
727,5/3/2015,klant_2,0,6113
728,5/3/2015,klant_3,0,6
729,5/3/2015,klant_4,0,0
730,5/3/2015,klant_5,0,0
731,5/3/2015,klant_6,0,0
732,5/4/2015,klant_1,7239,0
733,5/4/2015,klant_2,6113,0
734,5/4/2015,klant_3,6,0
735,5/4/2015,klant_4,0,0
736,5/4/2015,klant_5,0,0
737,5/4/2015,klant_6,0,0
738,5/5/2015,klant_1,0,9313
739,5/5/2015,klant_2,0,3042
740,5/5/2015,klant_3,0,13
741,5/5/2015,klant_4,0,0
742,5/5/2015,klant_5,0,0
743,5/5/2015,klant_6,0,0
744,5/6/2015,klant_1,9313,6452
745,5/6/2015,klant_2,3042,2440
746,5/6/2015,klant_3,13,3
747,5/6/2015,klant_4,0,0
